Date,Actual Price,Predicted Price
2010-09-19 15:03:05.268265,100.01,99.03
2010-09-20 15:03:05.268265,100.69,101.29
2010-09-21 15:03:05.268265,100.63,98.73
2010-09-22 15:03:05.268265,98.07,98.33
2010-09-23 15:03:05.268265,99.29,98.52
2010-09-24 15:03:05.268265,99.16,98.66
2010-09-25 15:03:05.268265,98.55,96.81
2010-09-26 15:03:05.268265,99.96,98.02
2010-09-27 15:03:05.268265,101.05,102.0
2010-09-28 15:03:05.268265,101.1,101.57
2010-09-29 15:03:05.268265,102.89,104.73
2010-09-30 15:03:05.268265,105.02,106.8
2010-10-01 15:03:05.268265,106.95,106.28
2010-10-02 15:03:05.268265,106.45,105.39
2010-10-03 15:03:05.268265,107.23,109.28
2010-10-04 15:03:05.268265,110.6,109.8
2010-10-05 15:03:05.268265,113.44,113.72
2010-10-06 15:03:05.268265,113.19,114.09
2010-10-07 15:03:05.268265,112.25,112.83
2010-10-08 15:03:05.268265,112.47,112.71
2010-10-09 15:03:05.268265,115.72,117.31
2010-10-10 15:03:05.268265,115.66,114.23
2010-10-11 15:03:05.268265,115.92,113.87
2010-10-12 15:03:05.268265,115.86,116.73
2010-10-13 15:03:05.268265,118.39,117.06
2010-10-14 15:03:05.268265,119.64,120.09
2010-10-15 15:03:05.268265,118.34,118.18
2010-10-16 15:03:05.268265,116.0,115.11
2010-10-17 15:03:05.268265,114.42,113.16
2010-10-18 15:03:05.268265,115.97,113.92
2010-10-19 15:03:05.268265,117.49,115.82
2010-10-20 15:03:05.268265,116.31,116.36
2010-10-21 15:03:05.268265,114.45,115.55
2010-10-22 15:03:05.268265,117.28,117.78
2010-10-23 15:03:05.268265,117.66,119.9
2010-10-24 15:03:05.268265,115.32,117.05
2010-10-25 15:03:05.268265,116.67,114.98
2010-10-26 15:03:05.268265,115.49,116.54
2010-10-27 15:03:05.268265,116.49,117.84
2010-10-28 15:03:05.268265,115.93,117.03
2010-10-29 15:03:05.268265,117.8,118.59
2010-10-30 15:03:05.268265,119.26,120.9
2010-10-31 15:03:05.268265,120.57,119.66
2010-11-01 15:03:05.268265,121.09,121.7
2010-11-02 15:03:05.268265,119.69,119.89
2010-11-03 15:03:05.268265,121.13,122.96
2010-11-04 15:03:05.268265,121.04,119.53
2010-11-05 15:03:05.268265,121.58,122.53
2010-11-06 15:03:05.268265,119.99,121.15
2010-11-07 15:03:05.268265,119.06,120.26
2010-11-08 15:03:05.268265,117.21,115.05
2010-11-09 15:03:05.268265,118.73,118.94
2010-11-10 15:03:05.268265,118.37,119.11
2010-11-11 15:03:05.268265,120.29,118.02
2010-11-12 15:03:05.268265,121.58,119.96
2010-11-13 15:03:05.268265,121.59,122.25
2010-11-14 15:03:05.268265,120.7,122.57
2010-11-15 15:03:05.268265,120.66,120.52
2010-11-16 15:03:05.268265,122.32,121.93
2010-11-17 15:03:05.268265,121.26,122.25
2010-11-18 15:03:05.268265,122.24,120.81
2010-11-19 15:03:05.268265,120.96,120.88
2010-11-20 15:03:05.268265,122.12,120.37
2010-11-21 15:03:05.268265,119.78,120.96
2010-11-22 15:03:05.268265,120.53,122.76
2010-11-23 15:03:05.268265,121.33,119.03
2010-11-24 15:03:05.268265,120.07,119.08
2010-11-25 15:03:05.268265,121.65,120.66
2010-11-26 15:03:05.268265,120.01,121.86
2010-11-27 15:03:05.268265,121.6,122.93
2010-11-28 15:03:05.268265,120.86,119.26
2010-11-29 15:03:05.268265,119.24,116.92
2010-11-30 15:03:05.268265,119.92,120.26
2010-12-01 15:03:05.268265,121.94,119.51
2010-12-02 15:03:05.268265,122.45,123.63
2010-12-03 15:03:05.268265,121.34,120.69
2010-12-04 15:03:05.268265,122.28,123.48
2010-12-05 15:03:05.268265,122.51,124.67
2010-12-06 15:03:05.268265,121.8,123.96
2010-12-07 15:03:05.268265,122.54,121.59
2010-12-08 15:03:05.268265,124.37,125.28
